# Program:featureCounts v1.6.3; Command:"/usr/local/bin/featureCounts" "-p" "-a" "/scratch/10819/styu/MW_multiQC/peaks/final/H3K27ac_filt_iter.saf" "-F" "SAF" "-o" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac_iter_counts.txt" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_093/MCW_CT_ROA_093_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_102/MCW_CT_ROA_102_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_111/MCW_CT_ROA_111_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_120/MCW_CT_ROA_120_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_84/MCW_CT_ROA_84_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_090/MCW_CT_ROA_090_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_108/MCW_CT_ROA_108_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_117/MCW_CT_ROA_117_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_81/MCW_CT_ROA_81_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_99/MCW_CT_ROA_99_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_105/MCW_CT_ROA_105_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_114/MCW_CT_ROA_114_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_78/MCW_CT_ROA_78_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_87/MCW_CT_ROA_87_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_96/MCW_CT_ROA_96_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_103/MCW_CT_ROA_103_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_112/MCW_CT_ROA_112_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_121/MCW_CT_ROA_121_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_85/MCW_CT_ROA_85_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_94/MCW_CT_ROA_94_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_082/MCW_CT_ROA_082_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_091/MCW_CT_ROA_091_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_100/MCW_CT_ROA_100_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_109/MCW_CT_ROA_109_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_118/MCW_CT_ROA_118_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_106/MCW_CT_ROA_106_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_115/MCW_CT_ROA_115_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_79/MCW_CT_ROA_79_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_88/MCW_CT_ROA_88_nobl.bam" "/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_97/MCW_CT_ROA_97_nobl.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_093/MCW_CT_ROA_093_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_102/MCW_CT_ROA_102_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_111/MCW_CT_ROA_111_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_120/MCW_CT_ROA_120_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/144R/MCW_CT_ROA_84/MCW_CT_ROA_84_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_090/MCW_CT_ROA_090_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_108/MCW_CT_ROA_108_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_117/MCW_CT_ROA_117_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_81/MCW_CT_ROA_81_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24R/MCW_CT_ROA_99/MCW_CT_ROA_99_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_105/MCW_CT_ROA_105_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_114/MCW_CT_ROA_114_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_78/MCW_CT_ROA_78_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_87/MCW_CT_ROA_87_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/DOX/24T/MCW_CT_ROA_96/MCW_CT_ROA_96_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_103/MCW_CT_ROA_103_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_112/MCW_CT_ROA_112_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_121/MCW_CT_ROA_121_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_85/MCW_CT_ROA_85_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/144R/MCW_CT_ROA_94/MCW_CT_ROA_94_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_082/MCW_CT_ROA_082_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_091/MCW_CT_ROA_091_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_100/MCW_CT_ROA_100_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_109/MCW_CT_ROA_109_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24R/MCW_CT_ROA_118/MCW_CT_ROA_118_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_106/MCW_CT_ROA_106_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_115/MCW_CT_ROA_115_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_79/MCW_CT_ROA_79_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_88/MCW_CT_ROA_88_nobl.bam	/scratch/10819/styu/MW_multiQC/peaks/H3K27ac/VEH/24T/MCW_CT_ROA_97/MCW_CT_ROA_97_nobl.bam
chr1:210664260-210664761	chr1	210664260	210664761	.	502	28	10	6	6	11	25	23	7	6	6	8	0	2	3	3	2	13	3	14	5	10	11	9	10	7	7	9	2	5	4
chr1:210696649-210697150	chr1	210696649	210697150	.	502	15	4	5	0	0	92	24	3	9	11	21	0	2	12	8	5	2	3	2	8	4	4	6	2	4	4	0	2	7	2
chr1:210704159-210704660	chr1	210704159	210704660	.	502	4	1	3	0	0	4	0	0	3	1	1	0	7	7	3	0	2	3	1	2	3	0	0	0	3	3	0	1	0	0
chr1:210792636-210793137	chr1	210792636	210793137	.	502	8	12	8	6	5	58	55	18	4	14	7	12	0	3	4	4	5	1	7	4	3	3	6	4	6	23	2	6	3	2
chr1:210815921-210816422	chr1	210815921	210816422	.	502	18	8	10	7	8	39	8	2	0	1	0	3	0	8	1	8	4	3	7	12	1	7	2	8	3	8	6	0	12	2
chr1:210882185-210882686	chr1	210882185	210882686	.	502	0	5	0	7	0	18	0	22	0	10	2	17	0	3	3	0	1	0	1	0	0	1	3	0	1	0	8	0	1	1
chr1:210905721-210906222	chr1	210905721	210906222	.	502	17	24	17	9	29	28	24	7	3	25	17	8	1	1	7	4	12	20	23	13	15	8	22	9	32	14	17	9	14	9
chr1:211134065-211134566	chr1	211134065	211134566	.	502	11	12	17	14	13	31	39	23	7	13	12	13	13	14	14	4	14	12	30	6	7	10	4	7	8	30	8	25	7	14
chr1:211257177-211257678	chr1	211257177	211257678	.	502	31	10	16	18	5	32	13	13	16	13	26	15	9	23	10	9	30	18	33	23	22	10	11	35	5	22	7	19	13	12
chr1:211258578-211259079	chr1	211258578	211259079	.	502	110	60	106	29	58	141	168	85	100	74	95	96	46	116	86	34	155	61	264	55	80	107	100	163	82	182	48	166	52	43
chr1:211259091-211259592	chr1	211259091	211259592	.	502	80	50	92	57	79	104	174	26	52	68	63	33	12	78	27	18	162	40	263	32	43	40	46	166	40	161	23	172	29	41
chr1:211260266-211260767	chr1	211260266	211260767	.	502	112	56	155	30	43	183	266	48	105	63	126	104	32	187	85	27	134	72	260	64	87	96	59	178	57	189	44	164	47	58
chr1:211291653-211292154	chr1	211291653	211292154	.	502	0	1	4	1	4	2	3	0	8	5	3	7	4	2	8	0	0	0	2	2	6	9	4	0	1	1	1	2	3	0
chr1:211304942-211305443	chr1	211304942	211305443	.	502	30	21	29	3	7	19	6	9	5	4	2	4	2	7	1	3	35	13	66	14	12	9	3	27	9	45	1	38	6	7
chr1:211309680-211310181	chr1	211309680	211310181	.	502	24	8	4	6	18	15	1	6	4	12	4	5	3	7	10	4	13	0	25	2	6	5	3	5	6	8	11	11	3	1
chr1:211326408-211326909	chr1	211326408	211326909	.	502	11	17	26	15	9	19	50	9	8	18	17	19	16	5	26	9	12	15	28	9	3	6	18	25	26	11	11	12	2	6
chr1:211328383-211328884	chr1	211328383	211328884	.	502	11	6	1	5	3	19	10	1	12	3	9	5	3	8	15	4	5	1	9	1	9	4	10	1	6	5	4	10	1	11
chr1:211330497-211330998	chr1	211330497	211330998	.	502	2	11	9	1	0	0	2	1	2	1	4	12	0	3	3	0	2	0	4	1	1	0	0	3	1	0	5	6	3	4
chr1:211336828-211337329	chr1	211336828	211337329	.	502	3	0	0	0	2	7	5	1	2	1	1	8	0	9	0	1	3	0	1	0	2	1	1	1	1	3	1	8	5	5
chr1:211366538-211367039	chr1	211366538	211367039	.	502	2	0	0	0	2	0	0	0	1	0	0	9	0	1	0	0	0	0	2	0	0	2	0	0	0	2	2	0	0	0
chr1:211382629-211383130	chr1	211382629	211383130	.	502	82	45	75	50	51	113	69	61	49	60	56	26	17	58	34	32	84	50	167	40	79	63	40	80	44	113	31	127	52	42
chr1:211416796-211417297	chr1	211416796	211417297	.	502	5	11	2	6	3	6	1	4	13	9	9	7	6	9	14	3	7	12	5	5	2	2	4	2	1	2	4	9	0	3
chr1:211490183-211490684	chr1	211490183	211490684	.	502	13	6	6	7	6	2	11	2	3	2	3	3	3	3	2	4	6	15	12	9	8	9	4	7	14	7	1	13	13	4
chr1:211490871-211491372	chr1	211490871	211491372	.	502	6	11	3	20	6	7	12	9	5	2	3	5	5	2	0	2	1	6	5	4	5	4	1	7	14	8	4	12	2	1
chr1:211531874-211532375	chr1	211531874	211532375	.	502	18	11	5	10	5	8	10	0	1	5	3	4	10	13	6	3	9	2	11	6	14	11	7	1	11	3	6	10	4	3
chr1:211547562-211548063	chr1	211547562	211548063	.	502	6	7	3	15	10	26	6	2	4	7	15	3	0	8	4	1	6	0	5	8	4	6	5	3	8	4	5	1	1	2
chr1:211548522-211549023	chr1	211548522	211549023	.	502	16	13	28	15	34	63	66	22	13	17	37	2	2	24	10	9	24	12	26	8	19	9	29	22	21	31	26	41	14	22
chr1:211575280-211575781	chr1	211575280	211575781	.	502	4	6	6	8	4	22	7	2	5	15	9	25	4	11	24	1	3	5	7	0	7	1	0	2	3	2	0	0	0	1
chr1:211576315-211576816	chr1	211576315	211576816	.	502	12	17	9	9	8	16	22	11	21	28	16	16	9	13	21	2	8	5	10	9	7	2	8	4	2	8	2	2	12	7
chr1:211577382-211577883	chr1	211577382	211577883	.	502	96	37	56	25	56	88	79	44	61	46	60	68	11	60	49	19	62	15	98	22	39	37	59	68	30	67	16	75	9	26
chr1:211578099-211578600	chr1	211578099	211578600	.	502	71	31	99	16	30	76	145	16	93	48	75	45	39	115	55	14	61	19	79	28	45	27	41	46	37	36	28	51	20	17
chr1:211579057-211579558	chr1	211579057	211579558	.	502	119	59	142	79	59	219	379	73	120	77	103	39	29	81	56	30	172	71	216	63	106	102	86	164	93	173	59	278	77	42
chr1:211580140-211580641	chr1	211580140	211580641	.	502	18	16	16	7	15	61	27	27	35	29	12	16	8	23	27	3	17	9	35	17	22	30	32	12	7	16	15	19	19	9
chr1:211592082-211592583	chr1	211592082	211592583	.	502	35	11	15	11	27	107	153	38	51	36	45	26	11	21	14	6	14	8	13	7	8	13	11	26	13	32	13	10	11	7
chr1:211611232-211611733	chr1	211611232	211611733	.	502	8	13	8	4	5	15	9	2	12	5	6	6	1	9	5	3	6	5	5	11	11	7	4	9	12	4	2	6	10	1
chr1:211612493-211612994	chr1	211612493	211612994	.	502	20	13	19	2	16	53	18	23	11	21	14	38	15	20	9	2	8	9	15	5	11	13	10	16	18	19	8	13	9	9
chr1:211613238-211613739	chr1	211613238	211613739	.	502	70	40	86	60	84	198	283	65	41	53	77	37	11	40	24	15	76	42	106	29	36	34	44	96	56	122	25	139	42	25
chr1:211619191-211619692	chr1	211619191	211619692	.	502	3	4	9	0	4	23	8	4	5	4	8	9	15	15	3	2	0	8	6	6	4	11	2	11	11	11	8	5	11	3
chr1:211619882-211620383	chr1	211619882	211620383	.	502	4	3	10	3	5	11	9	2	14	1	11	24	43	29	11	2	3	4	12	4	3	5	6	3	2	9	2	7	10	11
chr1:211625010-211625511	chr1	211625010	211625511	.	502	7	3	5	2	0	18	5	3	0	1	1	0	0	5	2	3	6	8	3	3	1	9	0	15	0	3	0	7	3	3
chr1:211627265-211627766	chr1	211627265	211627766	.	502	33	17	36	48	26	80	104	17	29	27	68	9	1	39	18	7	23	19	22	9	20	17	13	45	11	58	5	7	11	9
chr1:211630117-211630618	chr1	211630117	211630618	.	502	83	30	82	59	25	69	83	7	28	7	50	16	4	37	20	8	113	41	121	46	36	63	9	151	34	106	20	100	39	38
chr1:211630787-211631288	chr1	211630787	211631288	.	502	31	9	23	19	20	16	23	2	19	5	24	4	3	31	8	11	40	13	51	18	19	12	10	15	18	44	14	34	9	12
chr1:211632210-211632711	chr1	211632210	211632711	.	502	3	12	7	1	3	11	5	3	4	2	7	2	1	3	4	2	12	13	10	6	12	5	13	4	4	10	12	4	11	1
chr1:211633082-211633583	chr1	211633082	211633583	.	502	57	19	61	13	30	42	35	17	12	8	24	9	1	12	2	17	75	36	86	42	21	61	21	53	19	90	15	78	41	14
chr1:211639391-211639892	chr1	211639391	211639892	.	502	11	8	2	4	1	15	27	6	4	7	15	3	0	3	10	2	3	1	4	2	4	6	5	1	5	6	2	7	1	2
chr1:211643536-211644037	chr1	211643536	211644037	.	502	43	17	48	13	25	37	49	15	14	12	25	17	6	25	6	7	39	23	43	23	16	44	20	34	17	35	11	41	12	9
chr1:211648188-211648689	chr1	211648188	211648689	.	502	11	14	13	10	8	86	91	41	48	31	42	12	10	29	6	3	10	9	14	4	7	8	7	7	13	3	11	7	3	5
chr1:211648909-211649410	chr1	211648909	211649410	.	502	21	3	23	10	7	45	54	14	8	8	22	5	4	9	7	2	25	11	17	6	11	22	10	30	18	36	13	53	13	6
chr1:211654549-211655050	chr1	211654549	211655050	.	502	2	6	0	0	3	10	1	4	10	4	4	0	1	7	5	0	1	6	1	4	2	1	0	5	5	0	0	3	0	0
chr1:211655102-211655603	chr1	211655102	211655603	.	502	21	24	11	23	17	50	56	4	18	7	11	32	8	26	11	7	14	14	17	5	17	11	22	24	14	31	13	48	3	10
chr1:211675452-211675953	chr1	211675452	211675953	.	502	50	14	44	19	18	91	70	31	33	28	42	44	37	45	24	18	49	30	85	17	57	51	41	50	21	52	38	109	26	22
chr1:211679555-211680056	chr1	211679555	211680056	.	502	2	2	0	0	1	2	7	1	2	1	3	0	9	1	4	2	0	4	1	2	2	4	0	2	0	3	11	0	1	2
chr1:211735722-211736223	chr1	211735722	211736223	.	502	4	9	3	2	8	38	50	9	21	8	10	8	2	12	17	1	2	21	4	1	2	6	3	3	7	6	11	1	4	6
chr1:211753552-211754053	chr1	211753552	211754053	.	502	9	3	3	0	5	9	7	3	10	10	7	4	8	0	0	2	5	6	12	2	7	3	0	5	1	15	13	12	6	1
chr1:211754086-211754587	chr1	211754086	211754587	.	502	12	0	7	8	2	10	8	4	2	5	6	0	1	2	0	2	5	1	0	4	5	2	2	1	4	1	1	3	2	0
chr1:211783154-211783655	chr1	211783154	211783655	.	502	0	0	0	0	0	2	0	0	0	0	0	0	6	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
chr1:211826067-211826568	chr1	211826067	211826568	.	502	7	6	3	12	9	12	3	9	8	3	1	10	1	6	5	6	2	10	2	8	1	5	10	1	1	8	4	6	4	6
chr1:211829303-211829804	chr1	211829303	211829804	.	502	17	22	18	16	22	50	35	22	30	18	27	47	27	45	27	14	38	19	68	16	23	20	23	21	14	25	17	27	13	22
chr1:211830708-211831209	chr1	211830708	211831209	.	502	28	32	37	11	21	27	63	16	23	13	31	18	27	32	28	9	42	17	48	14	14	29	37	28	13	35	24	62	13	9
chr1:211932568-211933069	chr1	211932568	211933069	.	502	23	9	11	53	13	10	33	4	6	7	15	0	4	6	4	5	22	36	77	13	16	10	13	37	27	24	20	51	17	8
chr1:211951883-211952384	chr1	211951883	211952384	.	502	9	16	12	3	1	42	55	21	14	20	32	8	0	14	27	2	3	10	9	5	4	12	7	4	8	19	13	16	10	15
chr1:212026289-212026790	chr1	212026289	212026790	.	502	8	0	1	4	6	4	1	0	3	2	4	1	0	1	2	1	3	3	5	6	0	3	8	1	0	3	2	1	0	0
chr1:212030316-212030817	chr1	212030316	212030817	.	502	11	17	12	10	11	45	66	11	37	20	14	6	2	14	7	4	8	3	16	8	13	15	5	10	4	9	6	7	7	4
chr1:212030877-212031378	chr1	212030877	212031378	.	502	17	13	5	0	24	67	102	16	32	23	14	4	2	13	9	4	13	20	29	6	6	13	4	22	10	12	9	2	16	8
chr1:212034619-212035120	chr1	212034619	212035120	.	502	62	42	58	31	34	136	111	52	67	59	72	79	32	81	34	30	85	49	124	48	42	48	19	57	28	56	38	52	32	36
chr1:212035298-212035799	chr1	212035298	212035799	.	502	97	60	76	45	47	129	101	51	57	55	54	46	28	53	31	26	118	56	189	43	52	88	80	145	46	106	37	149	42	49
chr1:212040525-212041026	chr1	212040525	212041026	.	502	1	4	4	4	5	15	9	21	9	3	6	4	10	7	10	2	5	5	7	3	4	8	7	6	4	7	4	4	3	11
chr1:212070620-212071121	chr1	212070620	212071121	.	502	9	11	7	9	8	13	1	12	7	9	12	3	2	5	4	4	10	7	4	4	5	3	7	7	2	9	5	10	3	2
chr1:212074241-212074742	chr1	212074241	212074742	.	502	10	9	11	26	1	17	20	17	22	11	4	14	4	2	3	4	40	4	30	7	10	8	13	14	4	15	4	20	5	10
chr1:212076930-212077431	chr1	212076930	212077431	.	502	1	1	4	3	4	33	30	9	10	9	2	0	6	4	3	2	3	2	3	2	0	0	0	3	2	3	3	2	1	1
chr1:212080684-212081185	chr1	212080684	212081185	.	502	11	6	3	15	0	10	0	0	6	3	5	2	0	10	2	9	7	2	0	7	4	6	8	5	3	2	3	7	5	3
chr1:212087584-212088085	chr1	212087584	212088085	.	502	12	6	21	13	5	9	22	8	5	4	16	1	5	3	1	8	11	17	13	5	18	10	11	26	8	22	11	21	10	7
chr1:212088279-212088780	chr1	212088279	212088780	.	502	59	30	48	41	45	125	100	42	43	49	67	46	7	42	14	16	63	28	88	38	35	46	35	66	46	71	28	47	36	17
chr1:212110599-212111100	chr1	212110599	212111100	.	502	0	6	1	6	9	2	3	3	0	0	0	0	0	0	0	3	6	0	3	5	3	3	3	6	0	17	10	6	9	4
chr1:212119352-212119853	chr1	212119352	212119853	.	502	9	8	9	5	6	4	2	10	5	5	4	5	3	6	5	7	8	15	22	17	13	13	4	17	21	15	2	23	9	8
chr1:212139993-212140494	chr1	212139993	212140494	.	502	7	6	3	0	7	1	3	0	3	1	3	0	0	0	0	2	11	0	2	2	2	5	3	3	2	2	0	0	0	1
chr1:212162708-212163209	chr1	212162708	212163209	.	502	19	5	17	11	19	26	16	22	8	11	3	1	0	4	2	10	18	9	15	20	8	18	6	11	10	11	16	6	10	6
chr1:212179628-212180129	chr1	212179628	212180129	.	502	5	18	10	1	9	34	29	9	21	17	29	13	3	15	15	4	4	0	14	3	11	2	11	6	5	4	10	5	1	3
chr1:212218594-212219095	chr1	212218594	212219095	.	502	26	3	14	5	20	3	11	1	7	2	3	7	8	4	4	0	13	0	2	3	12	14	2	5	1	11	2	3	4	2
chr1:212219550-212220051	chr1	212219550	212220051	.	502	12	4	8	20	16	19	11	18	8	6	22	19	7	5	3	6	23	13	36	7	13	20	10	40	9	30	16	32	8	9
chr1:212220095-212220596	chr1	212220095	212220596	.	502	25	25	19	9	31	37	11	2	15	7	9	9	11	21	7	6	23	9	34	12	26	15	19	13	5	21	12	39	11	5
chr1:212225923-212226424	chr1	212225923	212226424	.	502	26	1	7	12	8	2	11	8	5	5	8	1	1	8	0	4	18	2	11	11	16	18	11	7	16	8	5	20	1	7
chr1:212226433-212226934	chr1	212226433	212226934	.	502	16	6	4	11	1	12	5	1	2	0	2	4	1	4	0	0	14	4	2	6	3	5	3	3	6	4	0	0	2	1
chr1:212233310-212233811	chr1	212233310	212233811	.	502	41	10	45	17	41	50	20	16	10	16	24	0	2	18	3	8	41	2	57	14	29	20	21	30	14	24	12	31	20	18
chr1:212234566-212235067	chr1	212234566	212235067	.	502	138	68	119	45	62	198	189	75	72	69	67	18	15	60	20	29	135	48	307	43	88	67	49	125	49	150	37	187	49	45
chr1:212235600-212236101	chr1	212235600	212236101	.	502	10	8	5	1	10	15	13	3	10	5	2	0	8	5	3	1	10	6	25	4	15	12	16	13	12	11	7	8	8	3
chr1:212236380-212236881	chr1	212236380	212236881	.	502	16	4	9	17	14	19	2	2	5	8	2	4	2	7	2	3	17	5	28	7	18	8	5	15	0	13	0	15	6	9
chr1:212237491-212237992	chr1	212237491	212237992	.	502	4	0	1	1	6	12	13	9	6	5	14	0	1	2	0	0	4	0	20	6	1	2	1	10	1	2	2	13	1	3
chr1:212238349-212238850	chr1	212238349	212238850	.	502	24	6	19	2	12	24	15	0	4	7	6	3	0	13	2	7	22	7	20	13	16	10	8	18	9	8	4	20	11	5
chr1:212240766-212241267	chr1	212240766	212241267	.	502	13	0	12	6	6	6	7	0	5	4	9	0	2	5	0	0	5	4	24	8	8	5	2	9	7	6	2	17	3	1
chr1:212247321-212247822	chr1	212247321	212247822	.	502	50	43	57	20	25	29	10	24	12	28	32	4	2	19	8	4	33	25	34	14	21	16	30	52	2	59	6	24	10	4
chr1:212284720-212285221	chr1	212284720	212285221	.	502	183	66	153	56	59	100	261	52	63	52	59	25	26	34	32	22	179	71	372	82	90	102	70	157	55	238	52	262	72	58
chr1:212285271-212285772	chr1	212285271	212285772	.	502	62	72	132	53	39	104	172	31	65	60	69	35	15	69	43	30	141	53	274	45	64	85	70	150	38	143	50	206	57	56
chr1:212286329-212286830	chr1	212286329	212286830	.	502	77	56	92	46	50	114	130	43	100	73	76	54	39	91	78	32	107	34	119	62	75	76	69	67	70	73	30	82	49	56
chr1:212287249-212287750	chr1	212287249	212287750	.	502	1	13	4	0	2	11	12	2	7	8	4	2	3	7	8	4	10	0	15	4	11	4	7	5	4	7	3	20	7	0
chr1:212287983-212288484	chr1	212287983	212288484	.	502	0	1	3	9	4	9	1	0	0	3	4	0	6	12	1	1	5	2	2	3	3	4	7	0	0	2	5	1	1	0
chr1:212291419-212291920	chr1	212291419	212291920	.	502	8	13	8	6	15	33	23	0	15	13	15	12	12	13	7	1	11	7	17	9	9	9	2	18	5	18	6	23	9	6
chr1:212299376-212299877	chr1	212299376	212299877	.	502	0	6	0	1	1	4	0	9	2	2	3	12	12	7	4	1	7	4	2	4	3	0	0	1	2	0	0	0	0	2
chr1:212305985-212306486	chr1	212305985	212306486	.	502	15	3	18	3	33	25	27	20	9	4	6	0	6	5	2	7	27	23	35	12	15	12	2	40	0	24	7	11	6	5
chr1:212315965-212316466	chr1	212315965	212316466	.	502	19	16	8	12	17	8	17	15	12	10	8	2	3	6	13	3	11	0	12	3	8	8	4	3	3	7	9	3	10	8
chr1:212367891-212368392	chr1	212367891	212368392	.	502	22	18	19	8	11	33	37	11	21	17	15	21	15	40	19	8	43	18	27	13	18	25	18	27	3	14	16	32	15	4
chr1:212376563-212377064	chr1	212376563	212377064	.	502	1	0	1	4	0	12	3	0	6	0	3	4	3	6	15	0	1	0	1	0	5	11	5	0	1	2	5	2	3	2
chr1:212432660-212433161	chr1	212432660	212433161	.	502	37	28	29	17	44	14	63	25	17	7	14	45	6	16	10	16	44	37	63	17	20	30	18	33	42	74	30	101	18	30
chr1:212434195-212434696	chr1	212434195	212434696	.	502	6	5	3	0	4	4	13	4	8	3	9	15	7	13	9	1	0	5	1	6	1	4	0	2	1	1	5	6	4	6
chr1:212485768-212486269	chr1	212485768	212486269	.	502	7	14	12	20	5	56	34	37	16	35	26	23	9	6	16	9	9	10	7	9	5	11	28	25	25	16	15	9	12	20
chr1:212488194-212488695	chr1	212488194	212488695	.	502	3	5	3	1	14	13	10	11	3	4	3	0	3	3	2	2	6	12	3	5	0	6	7	1	1	4	3	2	0	6
chr1:212498268-212498769	chr1	212498268	212498769	.	502	22	8	18	2	20	62	30	28	18	25	19	12	0	17	5	6	5	2	12	4	12	14	13	17	5	17	14	4	5	8
chr1:212558148-212558649	chr1	212558148	212558649	.	502	40	17	96	10	19	47	97	27	44	24	39	13	11	25	19	5	65	14	41	11	31	27	18	62	33	55	11	48	24	5
